company,title,location,category,url,source,first_seen,last_seen,date_posted,season_confidence,in_simplify,active
Citizens Financial Group,Data Science Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",Data Science,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49276,github,2026-09-13,2026-09-15,,medium,True,True
Citizens Financial Group,Data Management Intern - Multiple Teams,"Boston, MA; Johnston, RI; Columbus, OH",Statistics / Analytics,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49277,github,2026-09-13,2026-09-15,,medium,True,True
Citizens Financial Group,Data Management Intern - Enterprise Data and Analytics 🎓,"Boston, MA; Johnston, RI; Columbus, OH",Statistics / Analytics,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49281,github,2026-09-13,2026-09-15,,medium,True,True
Citizens Financial Group,Data Engineer Intern - Enterprise Technology & Security,"Plano, TX; Johnston, RI; Phoenix, AZ",Software Engineering,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49285,github,2026-09-13,2026-09-15,,medium,True,True
Citizens Financial Group,Data Analyst Intern - Multiple Teams 🎓,"Boston, MA; Johnston, RI; Columbus, OH",Statistics / Analytics,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49282,github,2026-09-13,2026-09-15,,medium,True,True
Citizens Financial Group,Business Insights Intern - Multiple Teams 🎓,"Boston, MA; Johnston, RI; Columbus, OH",Statistics / Analytics,https://hcgn.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/49283,github,2026-09-13,2026-09-15,,medium,True,True
Citizens,Corporate Security & Resilience Summer 2027 Intern | Enterprise Technology & Security Summer Internship Program,"Johnston, RI, United States",Cybersecurity,https://jobs.citizensbank.com/job/johnston/corporate-security-and-resilience-summer-2027-intern-enterprise-technology-and-security-summer-inte/288/100486082672,generic,2026-09-13,2026-09-15,2026-9-11,high,False,True
Citadel,Software Engineer Intern,"New York, NY; Greenwich, CT; Miami, FL; Houston, TX",Software Engineering,https://www.citadel.com/careers/details/software-engineer-intern-us,github,2026-09-13,2026-09-15,,medium,False,True
Cigna Group,Software Engineering Intern - Technology Development Program - Software Engineering Track,"Bloomington, MN; Austin, TX; Morris Plains, NJ; St. Louis, MO; Bloomfield, CT",Software Engineering,https://cigna.wd5.myworkdayjobs.com/cignacareers/job/St-Louis-MO/The-Cigna-Group-s-Technology-Development-Program----Software-Engineering-Track-Summer-Internship_26009527,github,2026-09-13,2026-09-15,,medium,True,True
Cigna Group,Data & Analytics Engineering Intern - Technology Development Program,"Bloomington, MN; Morris Plains, NJ; St. Louis, MO; Bloomfield, CT",Statistics / Analytics,https://cigna.wd5.myworkdayjobs.com/cignacareers/job/Bloomfield-CT/The-Cigna-Group-s-Technology-Development-Program---Data---Analytics-Engineering-Track-Summer-Internship_26009533,github,2026-09-13,2026-09-15,,medium,True,True
Cigna Group,Analytics Leadership Development Program (ALDP) Summer Internship,"CT, Bloomfield, 900 Cottage Grove Rd Wilde Bldg",Statistics / Analytics,https://cigna.wd5.myworkdayjobs.com/cignacareers/job/CT-Bloomfield-900-Cottage-Grove-Rd-Wilde-Bldg/Analytics-Leadership-Development-Program--ALDP--Summer-Internship_26010711,workday,2026-09-13,2026-09-15,2026-09-08,high,True,True
Cigna Group,Actuarial Internship - Summer 2027,"Bloomfield, CT; Austin, TX; Philadelphia, PA; Franklin, TN; Denver, CO",AI / Machine Learning,https://cigna.wd5.myworkdayjobs.com/cignacareers/job/Bloomfield-CT/Actuarial-Internship---Summer-2027_26006087,workday,2026-09-13,2026-09-15,2026-08-05,high,False,True
Charles River Associates,(2028 Bachelor's/Master's graduates) Economics Consulting Analyst/Associate Intern (Summer 2027),"Boston, MA, United States; Chicago, IL, United States; New York, NY, United States; Oakland, CA, United States; Salt Lake City, UT, United States; Washington, DC, United States",Statistics / Analytics,https://job-boards.greenhouse.io/charlesriverassociates/jobs/8120300,greenhouse,2026-09-13,2026-09-15,,high,False,True
Charles River Associates,(2028 Bachelor's/Master's graduates) Cyber and Forensic Technology Consulting Analyst/Associate Intern (Summer 2027),"Boston, MA, United States; Chicago, IL, United States; Dallas, Texas, United States; Washington, DC, United States",Cybersecurity,https://job-boards.greenhouse.io/charlesriverassociates/jobs/8128811,greenhouse,2026-09-13,2026-09-15,,high,False,True
Castleton Commodities International,Full-Stack Software Engineer Intern,"Stamford, CT; Houston, TX",Software Engineering,https://osv-cci.wd1.myworkdayjobs.com/CCICareers/job/Stamford-CT/Full-Stack-Software-Engineer-Internship--Summer-2027-_R1350,github,2026-09-13,2026-09-15,,medium,False,True
Castleton Commodities International,Data Science Machine Learning Intern,"Stamford, CT; Houston, TX; New York City, NY",AI / Machine Learning,https://osv-cci.wd1.myworkdayjobs.com/CCICareers/job/Stamford-CT/Data-Science-Machine-Learning-Internship--Summer-2027-_R1344,github,2026-09-13,2026-09-15,,medium,False,True
Castleton Commodities International,Data Engineering Intern,"Stamford, CT; Houston, TX; New York City, NY",Software Engineering,https://osv-cci.wd1.myworkdayjobs.com/CCICareers/job/Stamford-CT/Data-Engineering-Internship--Summer-2027-_R1346,github,2026-09-13,2026-09-15,,medium,False,True
Capital One,Current PhD - Data Science Internship - Summer 2027,"McLean, VA; Cambridge, MA; Chicago, IL; Richmond, VA; Plano, TX; San Francisco,  CA; San Jose, CA; New York, NY",Data Science,https://capitalone.wd12.myworkdayjobs.com/Capital_One/job/McLean-VA/Current-PhD---Data-Science-Internship---Summer-2027_R244287-1,workday,2026-09-13,2026-09-15,2026-07-20,high,True,True
Capital One,Current Master's - Data Science Internship - Summer 2027,"McLean, VA; Cambridge, MA; Chicago, IL; Richmond, VA; Plano, TX; San Francisco,  CA; San Jose, CA; New York, NY",Data Science,https://capitalone.wd12.myworkdayjobs.com/Capital_One/job/McLean-VA/Current-Master-s---Data-Science-Internship---Summer-2027_R244285-1,workday,2026-09-13,2026-09-15,2026-07-20,high,True,True
CACI,Software Engineering Co-op - Summer & Fall 2027,"Danbury, CT, US",Software Engineering,https://caci.wd1.myworkdayjobs.com/external/job/Danbury-CT-US/Software-Engineering-Co-op---Summer---Fall-2027_331354,workday,2026-09-13,2026-09-15,2026-08-31,high,False,True
CACI,Software Engineering Co-op - Spring & Summer 2027,"Danbury, CT, US",Software Engineering,https://caci.wd1.myworkdayjobs.com/external/job/Danbury-CT-US/Software-Engineering-Co-op---Spring---Summer-2027_331356-1,workday,2026-09-13,2026-09-15,2026-08-31,high,True,True
CACI,Embedded Software Engineering Co-op - Spring 2027,"Danbury, CT, US",Software Engineering,https://caci.wd1.myworkdayjobs.com/external/job/Danbury-CT-US/Embedded-Software-Engineering-Co-op---Spring-2027_331368,workday,2026-09-13,2026-09-13,2026-09-01,low,False,False
CACI,Configuration Control/Data Management Co-op - Spring & Summer 2027,"Danbury, CT, US",Statistics / Analytics,https://caci.wd1.myworkdayjobs.com/external/job/Danbury-CT-US/Configuration-Control-Data-Management-Co-op---Spring---Summer-2027_331440,workday,2026-09-13,2026-09-15,2026-09-10,high,True,True
Burlington Stores,Sustainability Intern,"Burlington, VT",Other,https://burlington.wd5.myworkdayjobs.com/BurlingtonCareers/job/00000---Burlington-Corporate-Office/Sustainability-Intern---Summer-2027_R104521,github,2026-09-13,2026-09-13,,medium,True,False
BerryDunn,Summer 2027 Internship - Technology Assurance,"Portland, ME, US",General Technology,https://careers-berrydunn.icims.com/jobs/4021/summer-2027-internship---technology-assurance/job,generic,2026-09-13,2026-09-15,2024-09-15,high,False,True
BNY,Engineering Intern - Developer,"Greater Manchester, UK",Software Engineering,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/81318,github,2026-09-13,2026-09-15,,medium,True,True
BNY,Engineering Intern - Data Science,"Manchester, UK",Data Science,https://eofe.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/81322,github,2026-09-13,2026-09-15,,medium,True,True
Axon,Render ATL - Leadership Development Internship 2027,"Boston, Massachusetts, United States",AI / Machine Learning,https://job-boards.greenhouse.io/axontalentcommunity/jobs/7798168003,greenhouse,2026-09-13,2026-09-15,,medium,False,True
Axon,Embedded Engineer Intern,"Boston, MA; Seattle, WA",Hardware / Engineering,https://job-boards.greenhouse.io/axontalentcommunity/jobs/7800627003,github,2026-09-13,2026-09-15,,medium,True,True
Avangrid / Iberdrola,2027 Electrical Engineering Internship Program,"United States Of America, Connecticut, Orange; United States Of America, Maine, Portland; United States Of America, New York, Binghamton; United States Of America, Oregon, Portland; United States Of America, Maine, Augusta; United States Of America, New York, Rochester; United States Of America, Massachusetts, Boston",Hardware / Engineering,https://iberdrola.wd3.myworkdayjobs.com/Iberdrola/job/United-States-Of-America-Connecticut-Orange/XMLNAME-2027-Electrical-Engineering-Internship-Program_R-32708,workday,2026-09-13,2026-09-15,2026-08-28,medium,False,True
Arch Capital Group,Data and Analytics Intern,"Farmington, CT",Statistics / Analytics,https://archgroup.wd1.myworkdayjobs.com/careers/job/Farmington-CT-United-States-of-America/Data-and-Analytics-Intern_R26_845,github,2026-09-13,2026-09-15,,medium,True,True
Apple,GPU Intern - Multiple Teams,"London, UK; Cambridge, UK; St Albans, UK",Hardware / Engineering,https://jobs.apple.com/en-us/details/200682357,github,2026-09-13,2026-09-15,,medium,True,True
Apple,GPU Intern,"London, UK; Cambridge, UK; St Albans, UK",Hardware / Engineering,https://jobs.apple.com/en-us/details/200679650,github,2026-09-13,2026-09-15,,medium,True,True
Anduril,2027 Software Engineer Intern,"Atlanta, Georgia, United States; Boston, Massachusetts, United States; Broomfield, Colorado, United States; Colorado Springs, Colorado, United States; Costa Mesa, California, United States; Fort Collins, Colorado, United States; Irvine, California, United States; Reston, Virginia, United States; Seattle, Washington, United States",Software Engineering,https://job-boards.greenhouse.io/andurilindustries/jobs/5148079007?gh_jid=5148079007,greenhouse,2026-09-13,2026-09-15,,high,False,True
Anduril,2027 Mechanical Engineer Intern,"Atlanta, Georgia, United States; Boston, Massachusetts, United States; Broomfield, Colorado, United States; Colorado Springs, Colorado, United States; Costa Mesa, California, United States; Fort Collins, Colorado, United States; Irvine, California, United States; Reston, Virginia, United States; Seattle, Washington, United States",Hardware / Engineering,https://job-boards.greenhouse.io/andurilindustries/jobs/5153187007?gh_jid=5153187007,greenhouse,2026-09-13,2026-09-15,,high,False,True
Anduril,2027 Manufacturing Engineer Intern,"Atlanta, Georgia, United States; Boston, Massachusetts, United States; Broomfield, Colorado, United States; Colorado Springs, Colorado, United States; Costa Mesa, California, United States; Fort Collins, Colorado, United States; Irvine, California, United States; Seattle, Washington, United States",Hardware / Engineering,https://job-boards.greenhouse.io/andurilindustries/jobs/5153218007?gh_jid=5153218007,greenhouse,2026-09-13,2026-09-15,,high,False,True
Anduril,2027 Electrical Engineer Intern,"Atlanta, Georgia, United States; Boston, Massachusetts, United States; Broomfield, Colorado, United States; Colorado Springs, Colorado, United States; Costa Mesa, California, United States; Fort Collins, Colorado, United States; Irvine, California, United States; Reston, Virginia, United States; Seattle, Washington, United States",Hardware / Engineering,https://job-boards.greenhouse.io/andurilindustries/jobs/5148101007?gh_jid=5148101007,greenhouse,2026-09-13,2026-09-15,,high,False,True
Ameriprise Financial,Asset Management Technology Intern – Data Enablement,"Boston, Massachusetts",General Technology,https://ameriprise.wd5.myworkdayjobs.com/Ameriprise/job/Boston-Massachusetts/Asset-Management-Technology-Intern---Data-Enablement_R26_3538,workday,2026-09-13,2026-09-15,2026-09-02,high,True,True
Amazon,Software Development Engineer Intern - Robotics,"Seattle, WA; Nashville, TN; Austin, TX; North Reading, MA; Arlington County, Arlington, VA; Bellevue, WA; Westborough, MA",Software Engineering,https://amazon.jobs/en/jobs/10529525/software-development-engineer-intern-robotics-2027,github,2026-09-13,2026-09-15,,medium,True,True
Amazon,Robotics - Software Development Engineer Intern/Co-op,"Sunnyvale, CA; North Reading, MA; Westboro, MA; Nashville, TN; Austin, TX; Arlington, VA; Bellevue, WA; Seattle, WA",Software Engineering,https://www.amazon.jobs/en/jobs/3136266/robotics-software-development-engineer-intern-co-op-2026?no_int_redir=1,github,2026-09-13,2026-09-15,,medium,False,True
Adobe,2027 Intern - Software Engineer,San Jose; Waltham; San Francisco; Austin; Seattle; Lehi; New York,Software Engineering,https://adobe.wd5.myworkdayjobs.com/external_experienced/job/San-Jose/XMLNAME-2027-Intern---Software-Engineer_R171666,workday,2026-09-13,2026-09-15,2026-09-03,medium,True,True
AQR Capital Management,Trading Analyst Intern,"Greenwich, CT",Statistics / Analytics,https://careers.aqr.com/jobs?gh_jid=8077110&gh_jid=8077110,github,2026-09-13,2026-09-15,,medium,True,True
AQR Capital Management,Quantitative Prediction Markets Research Summer Analyst Intern,"Greenwich, CT",Statistics / Analytics,https://careers.aqr.com/jobs?gh_jid=8122378&gh_jid=8122378,github,2026-09-13,2026-09-15,,medium,True,True
AQR Capital Management,Arbitrage Research Summer Analyst Intern - AQR Arbitrage,"Greenwich, CT",Scientific Computing / Research,https://careers.aqr.com/jobs?gh_jid=8156993&gh_jid=8156993,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Software Engineer Intern/Co-op,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Software Engineering,https://careers.amd.com/jobs/90947?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Product Development Engineering Intern/Co-op,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/91230?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Product Development Engineer Intern/Co-op,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/90790?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Machine Learning Intern/Co-op - Multiple Teams,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",AI / Machine Learning,https://careers.amd.com/jobs/91170?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Machine Learning Intern/Co-op - Artificial Intelligence 🎓,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",AI / Machine Learning,https://careers.amd.com/jobs/91181?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Hardware Engineering Intern/Co-op - Undergrad,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/91173?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Hardware Engineer Intern/Co-op - Hardware Engineering 🎓,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/91182?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Hardware Design Verification Engineering Intern/Co-op,"Secaucus, NJ; Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/90820?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Hardware Design Verification Engineer Intern/Co-op,"Secaucus, NJ; Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/90813?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Firmware Engineer Intern/Co-op 🎓,"Secaucus, NJ; Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/90805?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Firmware Engineer Intern/Co-op,"Secaucus, NJ; Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Massachusetts",Hardware / Engineering,https://careers.amd.com/jobs/90801?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Data Analyst Intern/Co-op 🎓,"Rochester, NY; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Statistics / Analytics,https://careers.amd.com/jobs/91183?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Compiler Engineer Intern/Co-op - Masters 🎓,"Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Software Engineering,https://careers.amd.com/jobs/91867?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,Compiler Engineer Intern/Co-op,"Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Software Engineering,https://careers.amd.com/jobs/91864?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
AMD,ASIC Package Engineering Intern Co-op 🎓,"Secaucus, NJ; Austin, TX; Longmont, CO; Fishkill, NY; Fort Collins, CO; Boxborough, MA",Hardware / Engineering,https://careers.amd.com/jobs/91471?icims=1,github,2026-09-13,2026-09-15,,medium,True,True
